Category,ID,Latitude,Longitude,Date,MODIS_Tile,MOD11A1_006_Line_Y_1km,MOD11A1_006_Sample_X_1km,MOD11A1_006_LST_Day_1km,MOD11A1_006_QC_Day,MOD11A1_006_QC_Day_bitmask,MOD11A1_006_QC_Day_MODLAND,MOD11A1_006_QC_Day_MODLAND_Description,MOD11A1_006_QC_Day_Data_Quality_flag,MOD11A1_006_QC_Day_Data_Quality_flag_Description,MOD11A1_006_QC_Day_Emis_Error_flag,MOD11A1_006_QC_Day_Emis_Error_flag_Description,MOD11A1_006_QC_Day_LST_Error_Flag,MOD11A1_006_QC_Day_LST_Error_Flag_Description
1.765217391,ELKBR171,44.26646,-90.59978,2015-05-30,h11v04,688,614,0.0,2,0b00000010,0b10,LST not produced due to cloud effects,0b00,Good data quality,0b00,Average emissivity error <= 0.01,0b00,Average LST error <= 1K
1.765217391,ELKBR171,44.26646,-90.59978,2015-05-31,h11v04,688,614,291.12,0,0b00000000,0b00,"LST produced, good quality, not necessary to examine more detailed QA",0b00,Good data quality,0b00,Average emissivity error <= 0.01,0b00,Average LST error <= 1K
1.765217391,ELKBR171,44.26646,-90.59978,2015-06-01,h11v04,688,614,293.78,0,0b00000000,0b00,"LST produced, good quality, not necessary to examine more detailed QA",0b00,Good data quality,0b00,Average emissivity error <= 0.01,0b00,Average LST error <= 1K
1.765217391,ELKBR171,44.26646,-90.59978,2015-06-02,h11v04,688,614,295.28,0,0b00000000,0b00,"LST produced, good quality, not necessary to examine more detailed QA",0b00,Good data quality,0b00,Average emissivity error <= 0.01,0b00,Average LST error <= 1K
1.765217391,ELKBR171,44.26646,-90.59978,2015-06-03,h11v04,688,614,0.0,2,0b00000010,0b10,LST not produced due to cloud effects,0b00,Good data quality,0b00,Average emissivity error <= 0.01,0b00,Average LST error <= 1K
1.765217391,ELKBR171,44.26646,-90.59978,2015-06-04,h11v04,688,614,0.0,2,0b00000010,0b10,LST not produced due to cloud effects,0b00,Good data quality,0b00,Average emissivity error <= 0.01,0b00,Average LST error <= 1K
1.765217391,ELKBR171,44.26646,-90.59978,2015-06-05,h11v04,688,614,0.0,2,0b00000010,0b10,LST not produced due to cloud effects,0b00,Good data quality,0b00,Average emissivity error <= 0.01,0b00,Average LST error <= 1K
1.765217391,ELKBR171,44.26646,-90.59978,2015-06-06,h11v04,688,614,295.56,65,0b01000001,0b01,"LST produced, other quality, recommend examination of more detailed QA",0b00,Good data quality,0b00,Average emissivity error <= 0.01,0b01,Average LST error <= 2K
1.765217391,ELKBR171,44.26646,-90.59978,2015-06-07,h11v04,688,614,0.0,2,0b00000010,0b10,LST not produced due to cloud effects,0b00,Good data quality,0b00,Average emissivity error <= 0.01,0b00,Average LST error <= 1K
1.765217391,ELKBR171,44.26646,-90.59978,2015-06-08,h11v04,688,614,0.0,2,0b00000010,0b10,LST not produced due to cloud effects,0b00,Good data quality,0b00,Average emissivity error <= 0.01,0b00,Average LST error <= 1K
1.765217391,ELKBR171,44.26646,-90.59978,2015-06-09,h11v04,688,614,301.16,0,0b00000000,0b00,"LST produced, good quality, not necessary to examine more detailed QA",0b00,Good data quality,0b00,Average emissivity error <= 0.01,0b00,Average LST error <= 1K
1.765217391,ELKBR171,44.26646,-90.59978,2015-06-10,h11v04,688,614,300.04,0,0b00000000,0b00,"LST produced, good quality, not necessary to examine more detailed QA",0b00,Good data quality,0b00,Average emissivity error <= 0.01,0b00,Average LST error <= 1K
1.765217391,ELKBR171,44.26646,-90.59978,2015-06-11,h11v04,688,614,0.0,2,0b00000010,0b10,LST not produced due to cloud effects,0b00,Good data quality,0b00,Average emissivity error <= 0.01,0b00,Average LST error <= 1K
1.765217391,ELKBR171,44.26646,-90.59978,2015-06-12,h11v04,688,614,295.64,0,0b00000000,0b00,"LST produced, good quality, not necessary to examine more detailed QA",0b00,Good data quality,0b00,Average emissivity error <= 0.01,0b00,Average LST error <= 1K
1.765217391,ELKBR171,44.26646,-90.59978,2015-06-13,h11v04,688,614,0.0,2,0b00000010,0b10,LST not produced due to cloud effects,0b00,Good data quality,0b00,Average emissivity error <= 0.01,0b00,Average LST error <= 1K
1.765217391,ELKBR171,44.26646,-90.59978,2015-06-14,h11v04,688,614,0.0,2,0b00000010,0b10,LST not produced due to cloud effects,0b00,Good data quality,0b00,Average emissivity error <= 0.01,0b00,Average LST error <= 1K
1.765217391,ELKBR171,44.26646,-90.59978,2015-06-15,h11v04,688,614,0.0,2,0b00000010,0b10,LST not produced due to cloud effects,0b00,Good data quality,0b00,Average emissivity error <= 0.01,0b00,Average LST error <= 1K
1.765217391,ELKBR171,44.26646,-90.59978,2015-06-16,h11v04,688,614,294.94,65,0b01000001,0b01,"LST produced, other quality, recommend examination of more detailed QA",0b00,Good data quality,0b00,Average emissivity error <= 0.01,0b01,Average LST error <= 2K
1.765217391,ELKBR171,44.26646,-90.59978,2015-06-17,h11v04,688,614,292.68,0,0b00000000,0b00,"LST produced, good quality, not necessary to examine more detailed QA",0b00,Good data quality,0b00,Average emissivity error <= 0.01,0b00,Average LST error <= 1K
1.765217391,ELKBR171,44.26646,-90.59978,2015-06-18,h11v04,688,614,0.0,2,0b00000010,0b10,LST not produced due to cloud effects,0b00,Good data quality,0b00,Average emissivity error <= 0.01,0b00,Average LST error <= 1K
1.765217391,ELKBR171,44.26646,-90.59978,2015-06-19,h11v04,688,614,296.16,0,0b00000000,0b00,"LST produced, good quality, not necessary to examine more detailed QA",0b00,Good data quality,0b00,Average emissivity error <= 0.01,0b00,Average LST error <= 1K
1.765217391,ELKBR171,44.26646,-90.59978,2015-06-20,h11v04,688,614,0.0,2,0b00000010,0b10,LST not produced due to cloud effects,0b00,Good data quality,0b00,Average emissivity error <= 0.01,0b00,Average LST error <= 1K
1.765217391,ELKBR171,44.26646,-90.59978,2015-06-21,h11v04,688,614,298.26,65,0b01000001,0b01,"LST produced, other quality, recommend examination of more detailed QA",0b00,Good data quality,0b00,Average emissivity error <= 0.01,0b01,Average LST error <= 2K
1.765217391,ELKBR171,44.26646,-90.59978,2015-06-22,h11v04,688,614,0.0,2,0b00000010,0b10,LST not produced due to cloud effects,0b00,Good data quality,0b00,Average emissivity error <= 0.01,0b00,Average LST error <= 1K
1.765217391,ELKBR171,44.26646,-90.59978,2015-06-23,h11v04,688,614,298.72,0,0b00000000,0b00,"LST produced, good quality, not necessary to examine more detailed QA",0b00,Good data quality,0b00,Average emissivity error <= 0.01,0b00,Average LST error <= 1K
1.765217391,ELKBR171,44.26646,-90.59978,2015-06-24,h11v04,688,614,0.0,2,0b00000010,0b10,LST not produced due to cloud effects,0b00,Good data quality,0b00,Average emissivity error <= 0.01,0b00,Average LST error <= 1K
1.765217391,ELKBR171,44.26646,-90.59978,2015-06-25,h11v04,688,614,0.0,2,0b00000010,0b10,LST not produced due to cloud effects,0b00,Good data quality,0b00,Average emissivity error <= 0.01,0b00,Average LST error <= 1K
1.765217391,ELKBR171,44.26646,-90.59978,2015-06-26,h11v04,688,614,0.0,2,0b00000010,0b10,LST not produced due to cloud effects,0b00,Good data quality,0b00,Average emissivity error <= 0.01,0b00,Average LST error <= 1K
1.765217391,ELKBR171,44.26646,-90.59978,2015-06-27,h11v04,688,614,0.0,2,0b00000010,0b10,LST not produced due to cloud effects,0b00,Good data quality,0b00,Average emissivity error <= 0.01,0b00,Average LST error <= 1K
1.765217391,ELKBR171,44.26646,-90.59978,2015-06-28,h11v04,688,614,0.0,2,0b00000010,0b10,LST not produced due to cloud effects,0b00,Good data quality,0b00,Average emissivity error <= 0.01,0b00,Average LST error <= 1K
1.765217391,ELKBR171,44.26646,-90.59978,2015-06-29,h11v04,688,614,0.0,2,0b00000010,0b10,LST not produced due to cloud effects,0b00,Good data quality,0b00,Average emissivity error <= 0.01,0b00,Average LST error <= 1K
1.765217391,ELKBR171,44.26646,-90.59978,2015-06-30,h11v04,688,614,0.0,2,0b00000010,0b10,LST not produced due to cloud effects,0b00,Good data quality,0b00,Average emissivity error <= 0.01,0b00,Average LST error <= 1K
1.765217391,ELKBR171,44.26646,-90.59978,2015-07-01,h11v04,688,614,0.0,2,0b00000010,0b10,LST not produced due to cloud effects,0b00,Good data quality,0b00,Average emissivity error <= 0.01,0b00,Average LST error <= 1K
1.765217391,ELKBR171,44.26646,-90.59978,2015-07-02,h11v04,688,614,295.3,0,0b00000000,0b00,"LST produced, good quality, not necessary to examine more detailed QA",0b00,Good data quality,0b00,Average emissivity error <= 0.01,0b00,Average LST error <= 1K
1.765217391,ELKBR171,44.26646,-90.59978,2015-07-03,h11v04,688,614,0.0,2,0b00000010,0b10,LST not produced due to cloud effects,0b00,Good data quality,0b00,Average emissivity error <= 0.01,0b00,Average LST error <= 1K
1.765217391,ELKBR171,44.26646,-90.59978,2015-07-04,h11v04,688,614,0.0,2,0b00000010,0b10,LST not produced due to cloud effects,0b00,Good data quality,0b00,Average emissivity error <= 0.01,0b00,Average LST error <= 1K
1.765217391,ELKBR171,44.26646,-90.59978,2015-07-05,h11v04,688,614,300.88,65,0b01000001,0b01,"LST produced, other quality, recommend examination of more detailed QA",0b00,Good data quality,0b00,Average emissivity error <= 0.01,0b01,Average LST error <= 2K
1.765217391,ELKBR171,44.26646,-90.59978,2015-07-06,h11v04,688,614,0.0,2,0b00000010,0b10,LST not produced due to cloud effects,0b00,Good data quality,0b00,Average emissivity error <= 0.01,0b00,Average LST error <= 1K
1.765217391,ELKBR171,44.26646,-90.59978,2015-07-07,h11v04,688,614,0.0,2,0b00000010,0b10,LST not produced due to cloud effects,0b00,Good data quality,0b00,Average emissivity error <= 0.01,0b00,Average LST error <= 1K
1.765217391,ELKBR171,44.26646,-90.59978,2015-07-08,h11v04,688,614,0.0,2,0b00000010,0b10,LST not produced due to cloud effects,0b00,Good data quality,0b00,Average emissivity error <= 0.01,0b00,Average LST error <= 1K
1.765217391,ELKBR171,44.26646,-90.59978,2015-07-09,h11v04,688,614,298.02,65,0b01000001,0b01,"LST produced, other quality, recommend examination of more detailed QA",0b00,Good data quality,0b00,Average emissivity error <= 0.01,0b01,Average LST error <= 2K
